x,y,z
6.400000000000002,2.75,0.0
6.400000000000002,3.0,0.0
6.400000000000002,3.25,0.0
6.400000000000002,3.5,0.0
6.400000000000002,3.75,0.0
6.400000000000002,4.0,0.0
6.400000000000002,4.25,0.0
6.400000000000002,4.5,0.0
6.400000000000002,4.75,0.0
6.400000000000002,5.0,0.0
7.200000000000003,0.0,0.0
7.200000000000003,0.25,0.0
7.200000000000003,0.5,0.0
7.200000000000003,0.75,0.0
7.200000000000003,1.0,0.0
7.200000000000003,1.25,0.0
7.200000000000003,1.5,0.0
7.200000000000003,1.75,0.0
7.200000000000003,2.0,0.0
7.200000000000003,2.25,0.0
7.200000000000003,2.5,0.0
7.200000000000003,2.75,0.0
7.200000000000003,3.0,0.0
7.200000000000003,3.25,0.0
7.200000000000003,3.5,0.0
7.200000000000003,3.75,0.0
7.200000000000003,4.0,0.0
7.200000000000003,4.25,0.0
7.200000000000003,4.5,0.0
7.200000000000003,4.75,0.0
7.200000000000003,5.0,0.0
8.0,0.0,0.0
8.0,0.25,0.0
8.0,0.5,0.0
8.0,0.75,0.0
8.0,1.0,0.0
8.0,1.25,0.0
8.0,1.5,0.0
8.0,1.75,0.0
8.0,2.0,0.0
8.0,2.25,0.0
8.0,2.5,0.0
8.0,2.75,0.0
8.0,3.0,0.0
8.0,3.25,0.0
8.0,3.5,0.0
8.0,3.75,0.0
8.0,4.0,0.0
8.0,4.25,0.0
8.0,4.5,0.0
8.0,4.75,0.0
8.0,5.0,0.0
8.8,0.0,0.0
8.8,0.25,0.0
8.8,0.5,0.0
8.8,0.75,0.0
8.8,1.0,0.0
8.8,1.25,0.0
8.8,1.5,0.0
8.8,1.75,0.0
8.8,2.0,0.0
8.8,2.25,0.0
8.8,2.5,0.0
8.8,2.75,0.0
8.8,3.0,0.0
8.8,3.25,0.0
8.8,3.5,0.0
8.8,3.75,0.0
8.8,4.0,0.0
8.8,4.25,0.0
8.8,4.5,0.0
8.8,4.75,0.0
8.8,5.0,0.0
9.600000000000001,0.0,0.0
9.600000000000001,0.25,0.0
9.600000000000001,0.5,0.0
9.600000000000001,0.75,0.0
9.600000000000001,1.0,0.0
9.600000000000001,1.25,0.0
9.600000000000001,1.5,0.0
9.600000000000001,1.75,0.0
9.600000000000001,2.0,0.0
9.600000000000001,2.25,0.0
9.600000000000001,2.5,0.0
9.600000000000001,2.75,0.0
9.600000000000001,3.0,0.0
9.600000000000001,3.25,0.0
9.600000000000001,3.5,0.0
9.600000000000001,3.75,0.0
9.600000000000001,4.0,0.0
9.600000000000001,4.25,0.0
9.600000000000001,4.5,0.0
9.600000000000001,4.75,0.0
9.600000000000001,5.0,0.0
10.400000000000002,0.0,0.0
10.400000000000002,0.25,0.0
10.400000000000002,0.5,0.0
10.400000000000002,0.75,0.0
10.400000000000002,1.0,0.0
10.400000000000002,1.25,0.0
10.400000000000002,1.5,0.0
10.400000000000002,1.75,0.0
10.400000000000002,2.0,0.0
10.400000000000002,2.25,0.0
